category,query
Vanities,Freestanding vanities with plenty of storage
Vanities,allen & roth connery 60-in warm oak vanity
Tile,satuatorio polished
Vanities,Apollo Tile Bois Acer matte porcelain wall tile
Flooring,somerset beige
Vanities,eviva acclaim
Paint,soft green
Paint,softened green
Paint,sage green
Faucets,matte black
Faucets,silver faucet that is modern
Flooring,matte gray tile
Decorative Lighting,modern champagne bronze
Toilet Paper Holder,standing toilet paper 
Faucets,A matte black faucet that feels modern and clean
Paint,greek villa 
Tile,mist blue tile
Tile,aqua
Paint,greek villa sherwin williams
Vanities,sink on right hand side
Tile,modern subway tile
Shower Systems,matte black shower with a clean modern look
Shower Systems,matte black shower with a clean modern look. rain shower spa look with a pull off head as well
Shower Systems,matt black rain shower head for spa like vibes
Flooring,hexagon tiles that are 2-3 inches. maybe some green or blue color to give the room some color since the shower tiles are white. should go with the black finishings though
Flooring,hexagon tiles that are 2-3 inches. maybe with some blue
Flooring,hexagon tiles with some color
Flooring,hexagon tiles with blue
Flooring,hexagon tiles with black
Vanities,single vanity
Paint,a soft sage green paint
Tub Doors,barn frosted shower doors
Toilet,Tall toilet
Vanities,Latte 48 inch
Vanities,Latte 48 inch single sink
Vanities,Latte single sink
Shower Systems,delta modern spotsheild 
Vanities,Zoe vanity but bigger 
Vanities,walnut color
Tile,"A calm, spa-inspired tile"
Vanities,freestanding vanity with a wood-like top
Decorative Lighting,brushed nickel beach
Flooring,blue and white floor tile
Flooring,blue and white floor tile
Mirror,round
Flooring,terracota
Faucets,I would like a Moen or Delta faucet
Flooring,Neutral flooring that's easy to keep clean
Tile,White matte 12 x 24
Paint,sherwin williams pure white
Paint,"A rich, moody blue tone"
Paint,"A rich, moody blue tone"
Paint,clear blue
Paint,"A clean, bright white paint"
Tile,mica matte
Vanities,sandbanks
Vanities,becket tk
Decorative Lighting,lnc
Decorative Lighting,lnc
Flooring,tiling with a bit of a color pop in it
Toilet,black toilet
Faucets,A matte black faucet that feels modern and clean
Vanities,freestanding vanity that works with the rest of the colors in the room
Tile,bedrosian baby blue
Toilet,Moen or Delta
Vanities,blue
Vanities,BLACK 60 INCH VANITY 
Tub Doors,SHOWER INSTEAD
Flooring,VINYAL MARBLE TITLES
Flooring,VINYAL PEEL AND STICK 
Flooring,Peel and stick 
Tile,i want to swap my tub for a shower
Vanities,Ariel 54
Vanities,ARIEL Lucia 54-in Natural Oak Floating Bathroom Vanity
Paint,Sherwim williams alpaca
Tubs,change tub to bone color
Mirror,Something frameless with built-in lighting
Tubs,tub with molded back splash
Tile,bathtub walls
Tile,shower wall molded
Tile,no tile
Tubs,one piece tub with walls
Vanities,Mid-century vanities in a light wood tone
Vanities,black vessel sinks 
Vanities,Freestanding vanities with plenty of storage
Toilet,round toilet
Tubs,whirlpool freestanding
Vanities,we dont want to remove the tub ho9wever we do want to cover the existing tile with a different design
Tubs,do not want to replacee the tub
Faucets,black
Mirror,framed mirror covering the length of the vanity
Decorative Lighting,black
Decorative Lighting,black three lights modern frdihn
Shower Systems,black rain shower with handheld single faucett
Flooring,tudor oak
Tile,12x24 rectangle
Tile,12x24 single tile not mosaic 
Tile,Shower floor pan 
Tile,want to tile wall over existing tub
Mirror,lighted mirror
Mirror,lighted square medicine cabinet
Flooring,satori
Flooring,Satori Flower 12-in x 12-in
Vanities,floor tile
Wallpaper,bead board
Decorative Lighting,luxe gold light fixture for above sik and mirror
Vanities,48 inch vanity in a walnut finish single center sink 
Paint,Alabaster
Faucets,Widespread polished nickle 
Mirror,Thin wood frame
Flooring,stone
Flooring,hex
Vanities,Something under $2k that goes well with my tile
Paint,blissful blue
Tile,slate
Flooring,oak tile
Flooring,walnut tile
Shower Systems,bronze
Faucets,bronze
Tubs,shower kit
Tubs,shower kit
Mirror,2 separate mirrors
Flooring,river rock
Tub Doors,replace with shower
Tile,industrial farmhouse
Tile,white wavy large tile
Flooring,river rock
Tile,no wall tile
Vanities,navy vanity
Tile,need to make this a stand alone shower 
Tubs,walk in shower
Flooring,porcelin
Flooring,regent
Tile,porcelain with blue
Vanities,grey vanity
Faucets,black and gold 
Mirror,gold round
Decorative Lighting,gold and black
Decorative Lighting,black and gold
Decorative Lighting,black and gold 3 count
Vanities,Potter 30-in Light Gray Single Sink
Faucets,gold
Vanities,"36"" wall mounted vanity with a vessel sink"
Tile,I’m looking for white subway tile 
Tile,White subway tile
Flooring,I’m looking for a rust colored hexagonal terracotta style tile
Tile,I’m looking for white subway style tile
Tile,bianco carrara
Tile,1328418
Tile,carrara fresca matte
Tubs,not free standing
Tile,hudson white scalliop
Vanities,lancashire blue
Vanities,allen roth lancashire
Vanities,allen roth
Vanities,blue
Faucets,gold
Tub Doors,gold
Shower Systems,gold
Decorative Lighting,gold
Mirror,gold
Paint,pure white
Flooring,blue
Flooring,allen roth fiona
Towel Bar,gold
Robe Hook,gold
Toilet Paper Holder,gold
Flooring,candece sky
Flooring,sky
Flooring,blue
Flooring,gray
Tubs,steel 
Tubs,"steel, right hand drain, 60x32"
Tubs,"steel, left hand drain, 60x32"
Flooring,Light cozy wood look flooring
Tubs,shower pan
Tubs,shower
Toilet,bidet toilet for low pressure 
Toilet,bidet toilet with tank and built in pump under $700
Shower Systems,has no tub
Shower Systems,White Walk in shower with sliding doors with brushed nickel fixtures
Toilet,Moen or Delta
Vanities,Solid wood vanities
Vanities,Farmhouse vanity
Vanities,sleek grey vanity with bowl
Tubs,shower only
Shower Systems,A shower with a handheld sprayer for easy rinsing
Tubs,replace tub with shower only
Vanities,Allen roth
Vanities,JEAREY 48-in Green Double Sink Bathroom Vanity with White Ceramic Top (Fully Assembled)
Tubs,Laurel Mountain Delmont II Base Model 48-in x 72-in white Acrylic Rectangle Drop-in Whirlpool Tub
Tubs,Laurel Mountain Delmont II Base Model 48-in x 72-in white Acrylic Rectangle Drop-in Whirlpool Tub
Shower Systems,Moen or Delta brushed gold shower head
Vanities,gabi 36-in warm walnut undermount single sink
Vanities,36-in warm walnut undermount single sink
Shower Systems,vanity
Vanities,oak vanity
Vanities,medium oak vanity
Tubs,walk in shower
Shower Systems,A shower with a rain head for spa vibes
Tubs,shower
Vanities,A sleek white vanity with an easy-to-clean top
Mirror,arched medicine cabinet
Tile,A marble-look tile for a touch of luxury
Tub Doors,shower curtain rod
Flooring,Warm gray floor that goes with everything
Flooring,Neutral flooring that's easy to keep clean
Vanities,24 inch single sink
Tile,A marble-look tile for a touch of luxury
Tile,A marble-look tile for a touch of luxury
Paint,"A color that is warm, cozy, and neutral"
Towel Bar,moen
Flooring,Light cozy wood look flooring
Paint,"A color that is warm, cozy, and neutral"
Paint,"A rich, moody blue tone"
Flooring,Warm gray floor that goes with everything
Paint,ibis
Flooring,pattern
Tile,white tile
Paint,light yellow
Tub Doors,gold
Tile,hudson white scallop
Paint,pure white
Towel Bar,gold
Robe Hook,gold
Toilet Paper Holder,gold
Shower Systems,gold
Faucets,gold
Mirror,gold
Decorative Lighting,gold
Vanities,blue
Faucets,Delta knoxville 
Vanities,Freestanding blue vanities in a traditional style
Paint,dark
Vanities,Water Creation Palace
Vanities,Palace 72 In Double Sink
Vanities,Water Creation Palace
Vanities,72 Inch White Vanity with gold hardware
Decorative Lighting,Wall Sconces
Decorative Lighting,brozne
Decorative Lighting,Slim Classic Silohette Wall Sconce in Gold Finish
Decorative Lighting,Shaded Sconce
Mirror,A classic gold rectangle mirror
Flooring,Light cozy wood look flooring
Shower Systems,6280440
Faucets,6877811
Shower Systems,6280440
Flooring,easy to clean
Vanities,Traditional White 72 inch with 4 inch center set faucet
Toilet,"A toilet with a sleek, simple shape"
Faucets,A Traditional 4 inch Center Set Faucet
Tubs,no tub
Tile,i want to change my tile color
Tile,i want the same type of wall but in grey color
Vanities,cantrell
Vanities,Cantrell 30-in Clear Oak Undermount Single Sink Bathroom Vanity with White Engineered Stone Top 
Flooring,annabelle gray
Flooring,allen + roth Annabelle Gray 8-in x 8-in Glazed Porcelain Floor and Wall Tile 
Flooring,Affinity Tile Renaissance Deco Emerald Mandorla 8-in x 8-in Matte Porcelain Floor and Wall Tile
Flooring,quick install
Flooring,lvp
Flooring,wood
Decorative Lighting,vintage or traditional
Vanities,Ariel Taylor